library,run,run.lib,sample,seq.notes,Sequenced,SBS,ExK,AUST
GES17_SBS_SB064,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB064,IW_S18680,,Y,Y,,
GES17_SBS_SB065,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB065,IW_S18734,,Y,Y,,
GES17_SBS_SB066,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB066,IW_S18696,,Y,Y,,
GES17_SBS_SB067,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB067,IW_S18811,,Y,Y,,
GES17_SBS_SB068,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB068,IW_S18732,,Y,Y,,
GES17_SBS_SB069,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB069,IW_S18722,,Y,Y,,
GES17_SBS_SB070,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB070,IW_S18783,,Y,Y,,
GES17_SBS_SB071,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB071,IW_S18721,,Y,Y,,
GES17_SBS_SB072,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB072,IW_S18748,,Y,Y,,
GES17_SBS_SB073,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB073,IW_S18773,,Y,Y,,
GES17_SBS_SB074,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB074,IW_S18767,,Y,Y,,
GES17_SBS_SB076,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB076,IW_S18835,,Y,Y,,
GES17_SBS_SB077,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB077,IW_S18685,,Y,Y,,
GES17_SBS_SB078,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB078,IW_S18842,,Y,Y,,
GES17_SBS_SB079,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB079,IW_S18781,,Y,Y,,
GES17_SBS_SB080,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB080,IW_S18683,,Y,Y,,
GES17_SBS_SB081,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB081,IW_S18789,,Y,Y,,
GES17_SBS_SB082,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB082,IW_S18788,,Y,Y,,
GES17_SBS_SB083,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB083,IW_S18825,,Y,Y,,
GES17_SBS_SB084,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB084,IW_S18742,,Y,Y,,
GES17_SBS_SB085,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB085,IW_S18772,,Y,Y,,
GES17_SBS_SB086,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB086,IW_S18780,,Y,Y,,
GES17_SBS_SB087,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB087,IW_S18757,,Y,Y,,
GES17_SBS_SB088,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB088,IW_S18823,,Y,Y,,
GES17_SBS_SB089,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB089,IW_S18735,,Y,Y,,
GES17_SBS_SB090,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB090,IW_S18746,,Y,Y,,
GES17_SBS_SB091,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB091,IW_S18662,,Y,Y,,
GES17_SBS_SB092,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB092,IW_S18693,,Y,Y,,
GES17_SBS_SB093,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB093,IW_S18834,,Y,Y,,
GES17_SBS_SB094,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB094,IW_S18694,,Y,Y,,
GES17_SBS_SB096,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB096,IW_S18774,,Y,Y,,
GES17_SBS_SB097,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB097,IW_S18666,,Y,Y,,
GES17_SBS_SB098,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB098,IW_S18754,,Y,Y,,
